                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3767,                0.86059,                0.98987,                 1.7999,              0.0033326,              0.0033326,              0.0033326
                      2,                0.06767,                0.90545,                0.99276,                 1.7535,                 0.0066,                 0.0066,                 0.0066
                      3,                0.07191,                0.89773,                0.98987,                 1.7582,              0.0098013,              0.0098013,              0.0098013
                      4,                0.06573,                0.93439,                0.99373,                 1.7128,               0.009703,               0.009703,               0.009703
                      5,                0.04194,                0.94067,                0.99373,                 1.6949,               0.009703,               0.009703,               0.009703
                      6,                0.03302,                0.95273,                0.99421,                 1.6854,               0.009604,               0.009604,               0.009604
                      7,                0.03078,                 0.9508,                0.99518,                 1.6819,               0.009505,               0.009505,               0.009505
                      8,                 0.0302,                 0.9561,                0.99566,                 1.6786,               0.009406,               0.009406,               0.009406
                      9,                0.02891,                0.95658,                0.99614,                 1.6748,               0.009307,               0.009307,               0.009307
                     10,                  0.026,                0.95803,                0.99614,                 1.6719,               0.009208,               0.009208,               0.009208
                     11,                 0.0292,                0.95514,                0.99662,                 1.6727,               0.009109,               0.009109,               0.009109
                     12,                0.02341,                 0.9561,                0.99662,                 1.6731,                0.00901,                0.00901,                0.00901
                     13,                0.02216,                 0.9561,                0.99711,                 1.6723,               0.008911,               0.008911,               0.008911
                     14,                 0.0244,                0.95466,                0.99662,                  1.672,               0.008812,               0.008812,               0.008812
                     15,                 0.0215,                 0.9561,                0.99662,                 1.6713,               0.008713,               0.008713,               0.008713
                     16,                 0.0217,                0.95707,                0.99662,                 1.6713,               0.008614,               0.008614,               0.008614
                     17,                0.02026,                0.95851,                0.99662,                  1.671,               0.008515,               0.008515,               0.008515
                     18,                0.01823,                0.95755,                0.99614,                 1.6705,               0.008416,               0.008416,               0.008416
                     19,                0.01839,                0.95851,                0.99566,                 1.6702,               0.008317,               0.008317,               0.008317
                     20,                0.01851,                0.95803,                0.99566,                 1.6704,               0.008218,               0.008218,               0.008218
                     21,                0.01691,                0.95562,                0.99566,                 1.6703,               0.008119,               0.008119,               0.008119
                     22,                0.01738,                0.95658,                0.99566,                 1.6696,                0.00802,                0.00802,                0.00802
                     23,                0.01537,                0.95658,                0.99566,                 1.6693,               0.007921,               0.007921,               0.007921
                     24,                 0.0186,                0.95707,                0.99566,                 1.6689,               0.007822,               0.007822,               0.007822
                     25,                0.01631,                 0.9561,                0.99566,                 1.6685,               0.007723,               0.007723,               0.007723
                     26,                0.01751,                0.95707,                0.99566,                 1.6683,               0.007624,               0.007624,               0.007624
                     27,                0.01515,                0.95851,                0.99566,                  1.668,               0.007525,               0.007525,               0.007525
                     28,                0.01498,                0.95803,                0.99614,                  1.668,               0.007426,               0.007426,               0.007426
                     29,                0.01522,                0.95803,                0.99614,                 1.6686,               0.007327,               0.007327,               0.007327
                     30,                0.01415,                0.95851,                0.99614,                 1.6687,               0.007228,               0.007228,               0.007228
                     31,                0.01254,                0.95658,                0.99614,                 1.6689,               0.007129,               0.007129,               0.007129
                     32,                0.01331,                0.95755,                0.99518,                 1.6687,                0.00703,                0.00703,                0.00703
                     33,                0.01225,                0.95755,                0.99566,                 1.6684,               0.006931,               0.006931,               0.006931
                     34,                 0.0114,                0.95803,                0.99518,                 1.6685,               0.006832,               0.006832,               0.006832
                     35,                0.01325,                0.95707,                0.99566,                 1.6687,               0.006733,               0.006733,               0.006733
                     36,                0.01254,                0.95851,                0.99566,                 1.6687,               0.006634,               0.006634,               0.006634
                     37,                0.01081,                0.95803,                0.99566,                 1.6684,               0.006535,               0.006535,               0.006535
                     38,                0.01134,                0.95755,                0.99566,                 1.6681,               0.006436,               0.006436,               0.006436
                     39,                0.01036,                0.95851,                0.99518,                 1.6677,               0.006337,               0.006337,               0.006337
                     40,                0.01244,                0.95658,                0.99518,                 1.6676,               0.006238,               0.006238,               0.006238
                     41,                0.00995,                0.95562,                0.99469,                 1.6673,               0.006139,               0.006139,               0.006139
                     42,                0.00912,                 0.9561,                0.99518,                 1.6673,                0.00604,                0.00604,                0.00604
                     43,                0.01077,                0.95755,                0.99566,                 1.6672,               0.005941,               0.005941,               0.005941
                     44,                0.01007,                 0.9561,                0.99566,                 1.6674,               0.005842,               0.005842,               0.005842
                     45,                0.00994,                0.95562,                0.99518,                 1.6668,               0.005743,               0.005743,               0.005743
                     46,                0.01138,                0.95658,                0.99614,                  1.667,               0.005644,               0.005644,               0.005644
                     47,                0.00678,                0.95562,                0.99518,                 1.6667,               0.005545,               0.005545,               0.005545
                     48,                0.01015,                0.95466,                0.99469,                 1.6671,               0.005446,               0.005446,               0.005446
                     49,                0.00669,                 0.9561,                0.99373,                 1.6667,               0.005347,               0.005347,               0.005347
                     50,                0.00948,                0.95755,                0.99469,                 1.6663,               0.005248,               0.005248,               0.005248
                     51,                 0.0069,                0.95707,                0.99566,                 1.6659,               0.005149,               0.005149,               0.005149
                     52,                0.00603,                0.95755,                0.99518,                 1.6658,                0.00505,                0.00505,                0.00505
                     53,                0.00546,                0.95658,                0.99518,                 1.6659,               0.004951,               0.004951,               0.004951
                     54,                0.00602,                0.95851,                0.99421,                 1.6657,               0.004852,               0.004852,               0.004852
                     55,                0.00711,                0.95707,                0.99421,                 1.6651,               0.004753,               0.004753,               0.004753
                     56,                 0.0073,                0.95707,                0.99421,                 1.6648,               0.004654,               0.004654,               0.004654
                     57,                0.00665,                 0.9561,                0.99421,                 1.6644,               0.004555,               0.004555,               0.004555
                     58,                0.00761,                0.95562,                0.99518,                 1.6647,               0.004456,               0.004456,               0.004456
                     59,                0.00603,                0.95658,                0.99469,                 1.6647,               0.004357,               0.004357,               0.004357
                     60,                0.00394,                0.95658,                0.99469,                 1.6648,               0.004258,               0.004258,               0.004258
                     61,                 0.0043,                0.95707,                0.99421,                 1.6643,               0.004159,               0.004159,               0.004159
                     62,                0.00526,                0.95658,                0.99421,                 1.6639,                0.00406,                0.00406,                0.00406
                     63,                0.00603,                0.95707,                0.99469,                 1.6642,               0.003961,               0.003961,               0.003961
                     64,                0.00504,                0.95755,                0.99518,                 1.6634,               0.003862,               0.003862,               0.003862
                     65,                0.00428,                0.95755,                0.99421,                 1.6632,               0.003763,               0.003763,               0.003763
                     66,                0.00335,                0.95755,                0.99469,                 1.6632,               0.003664,               0.003664,               0.003664
                     67,                0.00366,                0.95803,                0.99518,                 1.6625,               0.003565,               0.003565,               0.003565
